000000.jpe	1	[[(20, 202), (20, 66), (120, 66), (122, 202)]]
000001.jpe	1	[[(32, 197), (32, 37), (146, 37), (147, 196)]]
000002.jpe	9	[[(4, 76), (4, 4), (53, 4), (52, 75)], [(56, 75), (55, 5), (106, 5), (105, 75)], [(109, 75), (109, 4), (158, 4), (159, 74)], [(3, 147), (4, 79), (52, 77), (52, 147)], [(56, 148), (56, 77), (106, 77), (106, 148)], [(109, 148), (109, 78), (158, 77), (160, 147)], [(0, 221), (1, 151), (52, 151), (51, 221)], [(56, 221), (56, 151), (105, 151), (106, 221)], [(109, 222), (109, 152), (160, 151), (160, 221)]]
000003.jpe	1	[[(14, 191), (25, 23), (140, 22), (153, 190)]]
000004.jpe	1	[[(35, 186), (35, 55), (131, 55), (130, 186)]]
000005.jpe	1	[[(43, 132), (37, 8), (132, 8), (124, 132)]]
000006.jpe	9	[[(2, 76), (2, 4), (53, 4), (53, 76)], [(56, 76), (56, 4), (107, 4), (105, 76)], [(109, 74), (109, 4), (161, 3), (161, 75)], [(1, 149), (1, 79), (51, 79), (51, 150)], [(55, 148), (55, 79), (104, 79), (105, 148)], [(109, 148), (109, 78), (161, 77), (161, 148)], [(2, 221), (1, 152), (52, 152), (52, 221)], [(56, 221), (56, 152), (106, 152), (105, 221)], [(110, 221), (109, 151), (159, 152), (161, 222)]]
000007.jpe	1	[[(35, 198), (34, 57), (143, 59), (134, 201)]]
000008.jpe	1	[[(4, 220), (1, 5), (155, 3), (157, 218)]]
000009.jpe	1	[[(4, 179), (18, 19), (128, 19), (135, 180)]]
000010.jpe	1	[[(13, 216), (11, 11), (161, 11), (158, 216)]]
000011.jpe	1	[[(80, 135), (85, 53), (145, 54), (146, 136)]]
000012.jpe	1	[[(37, 167), (39, 41), (130, 42), (130, 169)]]
000013.jpe	1	[[(0, 223), (0, 0), (161, -1), (161, 224)]]
000014.jpe	2	[[(12, 138), (9, 23), (92, 23), (93, 138)], [(127, 138), (126, 24), (209, 24), (207, 138)]]
000015.jpe	1	[[(36, 202), (37, 51), (147, 52), (142, 200)]]
000016.jpe	1	[[(12, 210), (13, 12), (155, 15), (154, 209)]]
000017.jpe	1	[[(7, 220), (10, 3), (157, 2), (168, 210)]]
000018.jpe	2	[[(159, 67), (192, 25), (222, 49), (190, 91)], [(146, 130), (183, 91), (212, 118), (175, 158)]]
000019.jpe	1	[[(9, 220), (5, 8), (162, 8), (159, 218)]]
000020.jpe	1	[[(34, 197), (36, 61), (137, 62), (133, 203)]]
000021.jpe	1	[[(32, 180), (28, 29), (140, 28), (139, 177)]]
000022.jpe	1	[[(6, 113), (52, 1), (206, 44), (188, 167)]]
000023.jpe	1	[[(34, 182), (34, 60), (123, 61), (122, 182)]]
000024.jpe	6	[[(30, 80), (34, 6), (88, 5), (87, 80)], [(89, 81), (90, 5), (145, 4), (146, 80)], [(149, 81), (148, 3), (202, 3), (209, 80)], [(26, 165), (30, 83), (87, 82), (86, 166)], [(88, 167), (89, 83), (147, 82), (150, 166)], [(151, 166), (148, 83), (211, 82), (214, 167)]]
000025.jpe	1	[[(13, 210), (13, 14), (154, 14), (154, 210)]]
000026.jpe	1	[[(26, 200), (27, 69), (121, 69), (121, 200)]]
000027.jpe	2	[[(3, 163), (4, 50), (85, 50), (85, 163)], [(87, 164), (86, 51), (163, 51), (168, 162)]]
000028.jpe	1	[[(12, 190), (16, 45), (116, 45), (121, 190)]]
000029.jpe	1	[[(23, 191), (26, 42), (130, 44), (131, 190)]]
000030.jpe	1	[[(25, 191), (33, 56), (128, 58), (126, 197)]]
000031.jpe	1	[[(39, 170), (29, 35), (134, 31), (131, 170)]]
000032.jpe	1	[[(19, 198), (17, 61), (121, 61), (117, 199)]]
000033.jpe	1	[[(9, 203), (9, 42), (121, 46), (125, 203)]]
000034.jpe	1	[[(33, 206), (33, 77), (124, 79), (124, 202)]]
000035.jpe	1	[[(4, 212), (19, 21), (143, 22), (161, 206)]]
000036.jpe	1	[[(13, 194), (13, 23), (134, 34), (127, 191)]]
000037.jpe	1	[[(15, 206), (21, 25), (149, 26), (156, 207)]]
000038.jpe	1	[[(43, 183), (47, 59), (131, 60), (135, 182)]]
000039.jpe	1	[[(34, 180), (36, 41), (131, 41), (140, 178)]]
000040.jpe	1	[[(10, 216), (11, 5), (162, 7), (160, 218)]]
000041.jpe	1	[[(17, 201), (17, 25), (145, 25), (145, 202)]]
000042.jpe	1	[[(6, 187), (13, 21), (129, 22), (129, 184)]]
000043.jpe	9	[[(13, 74), (13, 25), (47, 25), (47, 74)], [(51, 74), (51, 25), (84, 24), (85, 74)], [(90, 74), (88, 24), (124, 24), (124, 75)], [(14, 128), (14, 79), (47, 79), (48, 128)], [(52, 128), (52, 78), (86, 78), (86, 128)], [(90, 128), (90, 79), (124, 78), (124, 128)], [(15, 182), (15, 132), (48, 132), (48, 182)], [(52, 182), (52, 132), (86, 132), (86, 182)], [(90, 181), (90, 132), (125, 132), (124, 181)]]
000044.jpe	3	[[(14, 96), (14, 7), (77, 7), (76, 97)], [(80, 97), (80, 7), (144, 7), (143, 97)], [(147, 98), (146, 8), (210, 7), (211, 97)]]
000045.jpe	1	[[(19, 176), (19, 79), (88, 78), (92, 176)]]
000046.jpe	1	[[(36, 177), (40, 59), (123, 59), (126, 177)]]
000047.jpe	1	[[(13, 174), (18, 27), (120, 32), (120, 172)]]
000048.jpe	1	[[(19, 187), (22, 35), (128, 35), (131, 184)]]
000049.jpe	1	[[(9, 182), (41, 41), (136, 43), (167, 185)]]
000050.jpe	1	[[(9, 195), (4, 15), (132, 14), (135, 187)]]
