004000.jpe	1	[[(39, 212), (54, 49), (164, 48), (177, 210)]]
004001.jpe	1	[[(9, 205), (13, 9), (155, 7), (154, 208)]]
004002.jpe	1	[[(11, 212), (15, 10), (156, 7), (156, 212)]]
004003.jpe	1	[[(16, 191), (14, 12), (145, 13), (140, 190)]]
004004.jpe	1	[[(20, 181), (13, 61), (111, 59), (102, 181)]]
004005.jpe	1	[[(4, 220), (17, 30), (144, 39), (149, 223)]]
004006.jpe	1	[[(4, 220), (6, 4), (159, 8), (152, 217)]]
004007.jpe	1	[[(12, 214), (15, 11), (156, 13), (156, 214)]]
004008.jpe	1	[[(17, 195), (17, 10), (153, 16), (147, 195)]]
004009.jpe	0	[]
004010.jpe	1	[[(20, 187), (20, 52), (115, 51), (116, 187)]]
004011.jpe	1	[[(21, 196), (25, 30), (140, 29), (145, 192)]]
004012.jpe	1	[[(31, 195), (35, 26), (154, 24), (166, 194)]]
004013.jpe	1	[[(16, 205), (12, 14), (148, 11), (148, 204)]]
004014.jpe	1	[[(34, 182), (36, 60), (122, 59), (122, 182)]]
004015.jpe	1	[[(7, 222), (7, 26), (136, 17), (156, 218)]]
004016.jpe	1	[[(28, 182), (31, 36), (136, 35), (137, 183)]]
004017.jpe	1	[[(8, 223), (7, 6), (159, 10), (159, 219)]]
004018.jpe	1	[[(14, 216), (13, 11), (158, 14), (157, 214)]]
004019.jpe	1	[[(13, 217), (14, 7), (164, 6), (167, 219)]]
004020.jpe	1	[[(19, 206), (16, 48), (133, 47), (131, 204)]]
004021.jpe	1	[[(0, 222), (0, 2), (158, 2), (159, 224)]]
004022.jpe	1	[[(21, 207), (24, 30), (145, 31), (149, 205)]]
004023.jpe	1	[[(31, 186), (37, 46), (131, 43), (140, 184)]]
004024.jpe	1	[[(12, 208), (14, 10), (155, 15), (155, 208)]]
004025.jpe	1	[[(7, 213), (9, 13), (157, 13), (155, 214)]]
004026.jpe	1	[[(30, 180), (36, 35), (138, 37), (143, 182)]]
004027.jpe	1	[[(22, 204), (24, 40), (140, 45), (144, 205)]]
004028.jpe	1	[[(16, 213), (17, 7), (163, 13), (161, 216)]]
